,totalPoints,qualPoints,alliancePoints,playoffPoints,awardPoints
22377,115,16,19,20,60
21836,82,16,20,40,6
24064,75,15,20,40,0
5064,73,15,18,10,30
21502,63,12,19,20,12
2827,43,14,18,5,6
21351,39,12,15,0,12
19410,36,14,16,0,6
21829,36,14,17,5,0
10195,35,12,17,0,6
23889,28,13,15,0,0
5309,27,11,16,0,0
6078,25,10,0,0,15
17346,22,10,0,0,12
5795,21,9,0,0,12
16461,18,6,0,0,12
8569,16,4,0,0,12
2901,15,3,0,0,12
15707,14,2,0,0,12
26520,13,13,0,0,0
7083,11,11,0,0,0
16072,11,8,0,0,3
24078,10,10,0,0,0
7105,10,4,0,0,6
3587,9,9,0,0,0
13735,9,3,0,0,6
27137,8,8,0,0,0
25863,8,8,0,0,0
24260,7,7,0,0,0
9990,7,7,0,0,0
19921,6,6,0,0,0
26916,6,6,0,0,0
23423,5,5,0,0,0
23574,5,5,0,0,0
8300,4,4,0,0,0
7444,2,2,0,0,0
