,totalPoints,qualPoints,alliancePoints,playoffPoints,awardPoints
14903,106,16,20,10,60
5485,72,12,20,10,30
16700,60,7,18,20,15
5356,44,15,17,0,12
25707,44,15,18,5,6
6567,40,13,15,0,12
20203,37,8,17,0,12
17222,36,11,19,0,6
5484,35,14,15,0,6
8397,35,16,19,0,0
8863,35,14,16,5,0
13371,27,11,16,0,0
12331,23,11,0,0,12
4243,18,6,0,0,12
6955,18,12,0,0,6
12736,17,5,0,0,12
4654,13,13,0,0,0
7420,12,6,0,0,6
12737,11,5,0,0,6
7486,10,10,0,0,0
21580,10,10,0,0,0
4809,9,9,0,0,0
6996,9,9,0,0,0
12833,8,8,0,0,0
6454,7,7,0,0,0
22612,6,6,0,0,0
18,4,4,0,0,0
10949,4,4,0,0,0
6347,3,3,0,0,0
4957,3,3,0,0,0
27239,2,2,0,0,0
27364,2,2,0,0,0
